,종목코드,종목명,업종,코스닥여부
291,005680,삼영전자,전기제품,N
292,005690,파미셀,화학,N
293,005720,넥센,자동차부품,N
294,005725,넥센우,자동차부품,N
295,005740,크라운해태홀딩스,식품,N
296,005745,크라운해태홀딩스우,식품,N
297,005750,대림B&Co,건축제품,N
298,005800,신영와코루,"섬유,의류,신발,호화품",N
299,005810,풍산홀딩스,비철금속,N
300,005820,원림,포장재,N
301,005830,DB손해보험,손해보험,N
302,005850,에스엘,자동차부품,N
303,005870,휴니드,우주항공과국방,N
304,005880,대한해운,해운사,N
305,005930,삼성전자,반도체와반도체장비,N
306,005935,삼성전자우,반도체와반도체장비,N
307,005940,NH투자증권,증권,N
308,005945,NH투자증권우,증권,N
309,005950,이수화학,화학,N
310,005960,동부건설,건설,N
311,005965,동부건설우,건설,N
312,006040,동원산업,식품,N
313,006060,화승인더,"섬유,의류,신발,호화품",N
314,006090,사조오양,식품,N
315,006110,삼아알미늄,비철금속,N
316,006120,SK디스커버리,석유와가스,N
317,006125,SK디스커버리우,석유와가스,N
318,006200,한국전자홀딩스,반도체와반도체장비,N
319,006220,제주은행,은행,N
320,006260,LS,전기장비,N
321,006280,녹십자,제약,N
322,006340,대원전선,전기장비,N
323,006345,대원전선우,전기장비,N
324,006360,GS건설,건설,N
