Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,macd,macd_signal,macd_hist,bol_upperband,bol_middleband,bol_lowerband,bolinger_pca
2013-08-05,87500,88400,87000,88200,31723,0.004555808656036442,88000.0,-0.0022675736961451248,-3.0,0.0,1303.354237750973,1148.770706347405,154.58353140356803,89746.63503038547,86015.0,82283.36496961453,-55740.58605628352
2013-08-06,88300,89900,88200,88600,74253,0.0045351473922903285,89800.0,0.013544018058690745,0.0,0.0,1326.310874708608,1184.2787400196455,142.03213468896251,90018.31419311989,86245.0,82471.68580688011,-55338.414641299605
2013-08-07,88600,89700,88400,89400,49058,0.009029345372460584,90600.0,0.013422818791946308,0.0,0.0,1392.9998538098007,1226.0229627776766,166.97689103212406,90386.54485334556,86510.0,82633.45514665444,-54867.618979019884
2013-08-08,89200,90000,88800,89500,51107,0.0011185682326622093,91200.0,0.01899441340782123,0.0,0.0,1437.3516197288554,1268.2886941679124,169.06292556094309,90699.48976271147,86780.0,82860.51023728853,-54396.30924857702
2013-08-09,88800,89300,87000,89200,57964,-0.003351955307262622,91300.0,0.023542600896860985,0.0,0.0,1431.7884549106966,1300.9886463164692,130.79980859422744,90799.93297526913,87070.0,83340.06702473087,-53921.78120312576
2013-08-12,87300,88200,85900,86000,74873,-0.0358744394618834,92300.0,0.07325581395348837,1.0,3.0,1155.8425171766867,1271.9594204885127,-116.11690331182604,90606.95771118111,87190.0,83773.04228881889,-53756.96433624197
2013-08-13,85500,87200,85000,86800,38791,0.009302325581395321,92000.0,0.059907834101382486,1.0,1.0,990.291226733505,1215.6257817375113,-225.33455500400623,90373.84466422429,87345.0,84316.15533577571,-53541.9045549035
2013-08-14,86000,86800,85600,86100,28785,-0.008064516129032251,93300.0,0.08362369337979095,1.0,3.0,793.4599738024262,1131.1926201504943,-337.7326463480681,90112.42356428177,87455.0,84797.57643571823,-53402.18923564507
2013-08-16,84900,87900,84900,87300,47539,0.013937282229965264,93600.0,0.07216494845360824,1.0,3.0,725.9316705224774,1050.140430224891,-324.20875970241354,89696.97847110221,87630.0,85563.02152889779,-53179.85406629549
2013-08-19,88000,88100,87100,88000,33423,0.008018327605956443,93600.0,0.06363636363636363,1.0,1.0,720.5926104538958,984.2308662706919,-263.6382558167961,89616.33642085009,87745.0,85873.66357914991,-53007.879792518805
2013-08-20,87200,88200,87200,88000,53858,0.0,93800.0,0.0659090909090909,1.0,1.0,708.1977045830281,929.0242339331592,-220.82652935013107,89638.2591918899,87765.0,85891.7408081101,-52973.13717539782
2013-08-21,87400,88100,87200,88000,41482,0.0,92700.0,0.053409090909090906,1.0,1.0,690.415966882676,881.3025805230625,-190.88661364038649,89659.32654572249,87785.0,85910.67345427751,-52938.50959076776
2013-08-22,87900,88500,86800,87500,71646,-0.005681818181818232,94500.0,0.08,1.0,3.0,628.7303778937057,830.7881399971911,-202.0577621034854,89658.07851965318,87805.0,85951.92148034682,-52906.8828736847
2013-08-23,87600,88700,87300,88600,59828,0.012571428571428678,95500.0,0.07787810383747178,1.0,3.0,660.9854819292086,796.8276083835947,-135.84212645438606,89718.70502000734,87895.0,86071.29497999266,-52755.6546505117
2013-08-26,88600,89300,87200,87700,39371,-0.010158013544018019,94500.0,0.07753705815279362,1.0,3.0,606.9291049549793,758.8479076978716,-151.91880274289235,89680.79183828984,87865.0,86049.20816171016,-52808.44485589155
2013-08-27,87200,88300,86700,87300,36333,-0.004561003420752607,94700.0,0.08476517754868271,1.0,3.0,525.7518397477688,712.2286941078511,-186.47685436008226,89680.89703981359,87855.0,86029.10296018641,-52824.32798176991
2013-08-28,87000,87200,85500,86000,109307,-0.014891179839633395,94600.0,0.1,1.0,3.0,352.45624062819115,640.2742034119191,-287.8179627837279,89767.09789444583,87770.0,85772.90210555417,-52947.86291496857
2013-08-29,86400,88700,86400,87900,73387,0.02209302325581386,94000.0,0.06939704209328783,1.0,3.0,364.2336915672204,585.0661010429793,-220.83240947575894,89777.5985582694,87780.0,85782.4014417306,-52930.5535620993
2013-08-30,88000,88000,84300,85000,144996,-0.0329920364050057,94000.0,0.10588235294117647,3.0,3.0,137.97119653008122,495.6471201403997,-357.6759236103185,89982.07081621418,87645.0,85307.92918378582,-53117.67027654119
2013-09-02,85000,86900,84500,86800,49702,0.021176470588235352,92300.0,0.06336405529953917,1.0,1.0,102.71743322143448,417.0611827566066,-314.34374953517215,89959.29693566608,87595.0,85230.70306433392,-53200.21916553045
