Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-05-27,42500,43000,42350,42650,8066669,-0.0011709601873536313,43170.0,42580.0,43547.5,44729.166666666664,43549.583333333336,46461.85670431744,43547.5,40633.14329568256
2019-05-28,42550,42950,42150,42550,24506881,-0.0023446658851113966,43050.0,42570.0,43432.5,44686.666666666664,43544.583333333336,46313.51978472901,43432.5,40551.48021527099
2019-05-29,41850,42100,41300,41800,14930618,-0.01762632197414804,42710.0,42495.0,43215.0,44635.833333333336,43533.333333333336,45892.1440006096,43215.0,40537.8559993904
2019-05-30,42200,42700,42150,42550,11766018,0.017942583732057482,42450.0,42595.0,43050.0,44607.5,43539.166666666664,45449.58329715807,43050.0,40650.41670284193
2019-05-31,42600,42800,42150,42500,11365999,-0.001175088131609825,42410.0,42725.0,42880.0,44582.5,43532.916666666664,44899.504889818294,42880.0,40860.495110181706
2019-06-03,42950,43900,42500,43800,15466580,0.030588235294117583,42640.0,42905.0,42805.0,44571.666666666664,43546.666666666664,44552.54112970196,42805.0,41057.45887029804
2019-06-04,43400,43700,43000,43450,9913497,-0.007990867579908634,42820.0,42935.0,42735.0,44565.833333333336,43563.333333333336,44245.33108952971,42735.0,41224.66891047029
2019-06-05,44050,44200,43700,43900,12464135,0.010356731875719172,43240.0,42975.0,42717.5,44570.0,43591.666666666664,44163.9698406811,42717.5,41271.0301593189
2019-06-07,43600,44350,43450,44200,11683682,0.006833712984054774,43570.0,43010.0,42805.0,44562.5,43618.75,44381.99080529976,42805.0,41228.00919470024
2019-06-10,44300,44850,44050,44800,8792182,0.013574660633484115,44030.0,43220.0,42900.0,44578.333333333336,43657.083333333336,44701.38835346518,42900.0,41098.61164653482
2019-06-11,44800,45000,44550,44850,6664872,0.0011160714285713969,44240.0,43440.0,43010.0,44595.0,43695.416666666664,44996.10170937946,43010.0,41023.89829062054
2019-06-12,44800,45050,44300,44600,8607439,-0.005574136008918651,44470.0,43645.0,43107.5,44601.666666666664,43730.0,45201.84357257829,43107.5,41013.15642742171
2019-06-13,44200,44400,43400,43750,16906541,-0.01905829596412556,44440.0,43840.0,43167.5,44602.5,43761.25,45263.27551278757,43167.5,41071.72448721243
2019-06-14,43750,44150,43300,44000,9322873,0.005714285714285783,44400.0,43985.0,43290.0,44604.166666666664,43803.333333333336,45276.85681416654,43290.0,41303.14318583346
2019-06-17,43750,44050,43400,43900,11890424,-0.002272727272727315,44220.0,44125.0,43425.0,44601.666666666664,43842.916666666664,45178.710352367234,43425.0,41671.289647632766
2019-06-18,43750,44500,43650,44350,7994928,0.010250569476081939,44120.0,44180.0,43542.5,44576.666666666664,43888.333333333336,45211.414317752715,43542.5,41873.585682247285
2019-06-19,45450,45450,45000,45350,10417690,0.022547914317925688,44270.0,44370.0,43652.5,44556.666666666664,43940.416666666664,45485.38706689747,43652.5,41819.61293310253
2019-06-20,44850,45500,44850,45500,7147785,0.00330760749724357,44620.0,44530.0,43752.5,44556.666666666664,43997.5,45751.8686503494,43752.5,41753.1313496506
2019-06-21,45750,45800,45200,45700,9454913,0.00439560439560438,44960.0,44680.0,43845.0,44564.166666666664,44056.25,46017.5330837527,43845.0,41672.4669162473
2019-06-24,45200,45800,45200,45500,6085066,-0.004376367614879695,45280.0,44750.0,43985.0,44566.666666666664,44112.083333333336,46204.70718789664,43985.0,41765.29281210336
2019-06-25,45200,45800,45200,45600,7076774,0.00219780219780219,45530.0,44825.0,44132.5,44579.166666666664,44172.5,46369.74719242197,44132.5,41895.25280757803
2019-06-26,45800,46000,45600,45700,9226097,0.002192982456140413,45600.0,44935.0,44290.0,44596.666666666664,44234.583333333336,46502.826247132834,44290.0,42077.173752867166
2019-06-27,46000,46600,45750,46500,12603534,0.017505470459518557,45800.0,45210.0,44525.0,44620.833333333336,44299.583333333336,46625.59515376,44525.0,42424.40484624
2019-06-28,47000,47000,46700,47000,12949231,0.010752688172043001,46060.0,45510.0,44747.5,44641.666666666664,44368.333333333336,46906.081710290346,44747.5,42588.918289709654
2019-07-01,47350,47400,46250,46600,11383522,-0.008510638297872353,46280.0,45780.0,44952.5,44641.666666666664,44443.333333333336,46993.9394431381,44952.5,42911.0605568619
2019-07-02,46200,46900,45850,46250,8463073,-0.007510729613733891,46410.0,45970.0,45075.0,44630.0,44516.666666666664,47119.13796011913,45075.0,43030.86203988087
2019-07-03,45750,46350,45200,45400,9669368,-0.018378378378378413,46350.0,45975.0,45172.5,44605.833333333336,44572.083333333336,47078.66762117081,45172.5,43266.33237882919
2019-07-04,45250,46200,45250,46000,6365573,0.013215859030837107,46250.0,46025.0,45277.5,44595.0,44637.916666666664,47122.07989797135,45277.5,43432.92010202865
2019-07-05,45950,45950,45250,45650,7235395,-0.007608695652173925,45980.0,46020.0,45350.0,44578.333333333336,44688.333333333336,47132.41409330155,45350.0,43567.58590669845
2019-07-08,44750,44800,44350,44400,7823843,-0.027382256297918905,45540.0,45910.0,45330.0,44540.0,44726.666666666664,47145.323662601244,45330.0,43514.676337398756
2019-07-09,44850,45450,44700,45100,7646421,0.015765765765765716,45310.0,45860.0,45342.5,44520.833333333336,44765.0,47147.84622718192,45342.5,43537.15377281808
2019-07-10,45550,46150,45500,45550,9253930,0.009977827050997812,45340.0,45845.0,45390.0,44499.166666666664,44810.833333333336,47164.429485778455,45390.0,43615.570514221545
2019-07-11,46350,46550,46150,46200,10989751,0.014270032930845167,45380.0,45815.0,45512.5,44485.0,44853.333333333336,47150.14312351623,45512.5,43874.85687648377
2019-07-12,46350,46400,45800,46300,5245804,0.0021645021645022577,45510.0,45745.0,45627.5,44469.166666666664,44893.75,47142.58250600421,45627.5,44112.41749399579
2019-07-15,45950,46650,45750,46450,4717226,0.003239740820734305,45920.0,45730.0,45755.0,44459.166666666664,44931.25,47085.0,45755.0,44425.0
2019-07-16,46450,46850,46300,46850,7407824,0.008611410118406937,46270.0,45790.0,45880.0,44480.0,44969.166666666664,47125.55208642594,45880.0,44634.44791357406
2019-07-17,46150,46350,45950,46050,5216602,-0.01707577374599789,46370.0,45855.0,45915.0,44492.5,44996.666666666664,47138.151666801794,45915.0,44691.848333198206
